Omari Akhmedov,Record: 17-4-1,"6' 0""",185 lbs.,"73""",Orthodox,12-Oct-87,3.01,33%,57%,,2.89,51%,53%,0.3
Matheus Nicolau,Record: 13-3-1,"5' 6""",125 lbs.,"66""",,6-Jan-93,3.83,51%,70%,,1.9,66%,100%,1.6
Louis Smolka,Record: 11-5-0,"5' 9""",125 lbs.,"68""",Orthodox,16-Jul-91,3.88,45%,52%,,1.6,34%,31%,2.2
Tim Elliott,Record: 16-8-1,"5' 7""",135 lbs.,"66""",Southpaw,24-Dec-86,3.41,45%,62%,,4.26,65%,50%,1.4
Mark De La Rosa,Record: 10-1-0,"5' 6""",135 lbs.,"65""",Orthodox,31-Aug-94,1.97,56%,60%,,2.19,66%,0%,1.1
Rafael Dos Anjos,Record: 28-10-0,"5' 8""",170 lbs.,"70""",Southpaw,26-Oct-84,3.71,44%,64%,,2.11,40%,64%,0.7
Robbie Lawler,Record: 28-12-0 (1 NC),"5' 11""",170 lbs.,"74""",Southpaw,20-Mar-82,3.56,44%,60%,,0.72,65%,69%,0
Josh Emmett,Record: 13-2-0,"5' 6""",145 lbs.,"70""",Orthodox,4-Mar-85,3.89,37%,63%,,1.9,52%,50%,0.2
Ricardo Lamas,Record: 18-7-0,"5' 8""",145 lbs.,"71""",Orthodox,21-May-82,2.73,44%,58%,,1.55,30%,47%,1.1
Santiago Ponzinibbio,Record: 27-3-0,"6' 0""",170 lbs.,"73""",Orthodox,26-Sep-86,4.23,38%,62%,,0.64,44%,57%,0
Mike Perry,Record: 12-3-0,"5' 10""",170 lbs.,"71""",Orthodox,15-Sep-91,4.12,45%,58%,,0.7,50%,66%,0
Glover Teixeira,Record: 27-7-0,"6' 2""",205 lbs.,"76""",Orthodox,28-Oct-79,3.5,43%,56%,,2.16,46%,60%,0.8
Misha Cirkunov,Record: 13-4-0,"6' 3""",205 lbs.,"77""",Orthodox,27-Feb-87,4.53,51%,66%,,4.44,56%,50%,1.5
Jan Blachowicz,Record: 22-7-0,"6' 2""",205 lbs.,"78""",Orthodox,24-Feb-83,3.79,49%,52%,,1.57,52%,57%,0.3
Jared Cannonier,Record: 10-4-0,"5' 11""",205 lbs.,"77""",Switch,16-Mar-84,3.54,51%,68%,,0.23,33%,31%,0
Julian Marquez,Record: 7-2-0,"6' 2""",185 lbs.,"75""",Orthodox,8-May-90,3.8,40%,53%,,0,0%,52%,3
Darren Stewart,Record: 8-3-0 (1 NC),"6' 0""",185 lbs.,"74""",Orthodox,30-Dec-90,3.2,44%,59%,,2.59,42%,60%,0
Chad Laprise,Record: 14-3-0,"5' 10""",170 lbs.,"71""",Orthodox,23-Jul-86,4.77,42%,64%,,1.07,54%,78%,0
Galore Bofando,Record: 5-3-0,"5' 11""",170 lbs.,"72""",Switch,22-May-82,3.63,45%,54%,,2.37,100%,50%,0
Nordine Taleb,Record: 14-5-0,"6' 1""",170 lbs.,"74""",Orthodox,10-Jun-81,3.21,54%,68%,,2.49,76%,71%,0
Danny Roberts,Record: 16-3-0,"6' 1""",170 lbs.,"74""",Southpaw,14-Jul-87,3.71,41%,55%,,0,0%,57%,0.5
John Makdessi,Record: 16-6-0,"5' 8""",155 lbs.,"68""",Orthodox,3-May-85,5.49,50%,71%,,0,0%,87%,0
Abel Trujillo,Record: 15-8-0 (1 NC),"5' 8""",155 lbs.,"70""",Orthodox,18-Sep-83,2.65,41%,59%,,2.18,45%,40%,0.4
Alessio Di Chirico,Record: 12-2-0,"6' 0""",185 lbs.,"74""",Orthodox,12-Dec-89,3.36,41%,63%,,2.48,56%,77%,0
Oluwale Bamgbose,Record: 6-4-0,"5' 11""",185 lbs.,"78""",Switch,4-Aug-87,2.45,48%,55%,,0.94,33%,37%,0
Jordan Mein,Record: 31-12-0,"6' 0""",170 lbs.,"73""",Orthodox,10-Oct-89,3.35,44%,69%,,1.56,58%,66%,0.2
Erick Silva,Record: 19-9-0 (1 NC),"6' 0""",170 lbs.,"74""",Orthodox,21-Jun-84,2.5,48%,49%,,0.85,35%,56%,1.4
Brian Ortega,Record: 14-0-0 (1 NC),"5' 8""",145 lbs.,"69""",Switch,21-Feb-91,3.65,32%,56%,,0.22,14%,58%,1.8
Cub Swanson,Record: 25-10-0,"5' 8""",145 lbs.,"70""",Orthodox,2-Nov-83,4.16,49%,62%,,1.17,52%,60%,0.5
Gabriel Benitez,Record: 21-7-0,"5' 8""",145 lbs.,"71""",Southpaw,15-Jun-88,4.23,42%,73%,,0.23,100%,56%,1.6
Jason Knight,Record: 20-5-0,"5' 10""",145 lbs.,"71""",Orthodox,14-Jul-92,3.27,33%,51%,,1.51,31%,50%,2
Marlon Moraes,Record: 21-5-1,"5' 6""",135 lbs.,"67""",Orthodox,26-Apr-88,3.25,33%,64%,,0.47,25%,60%,0.5
Aljamain Sterling,Record: 15-3-0,"5' 7""",135 lbs.,"71""",Orthodox,31-Jul-89,3.9,50%,68%,,2.25,39%,58%,0.8
Scott Holtzman,Record: 11-2-0,"5' 9""",155 lbs.,"69""",Orthodox,30-Sep-83,4.33,50%,56%,,3.08,60%,57%,0.3
Darrell Horcher,Record: 13-3-0,"5' 10""",155 lbs.,"70""",Southpaw,28-Jul-87,2.04,47%,37%,,0.39,100%,47%,0.8
Eryk Anders,Record: 11-1-0,"6' 1""",185 lbs.,"75""",Southpaw,21-Apr-87,3.06,51%,51%,,1.56,33%,63%,0
Markus Perez,Record: 10-2-0,"6' 1""",185 lbs.,"73""",Orthodox,22-Jun-88,2.55,47%,49%,,1.31,42%,81%,1.3
Benito Lopez,Record: 9-0-0,"5' 10""",135 lbs.,"73""",Switch,6-Apr-94,5.17,45%,60%,,0,0%,84%,0.5
Albert Morales,Record: 7-4-1,"5' 9""",135 lbs.,"72""",Orthodox,25-May-91,3.81,35%,56%,,0.91,35%,70%,0.2
Alexis Davis,Record: 19-8-0,"5' 6""",125 lbs.,"68""",Orthodox,4-Oct-84,4.18,44%,55%,,0.8,38%,34%,1
Liz Carmouche,Record: 11-6-0,"5' 6""",125 lbs.,"66""",Orthodox,19-Feb-84,3.3,56%,60%,,2.95,52%,66%,0.2
Andre Soukhamthath,Record: 12-6-0,"5' 9""",135 lbs.,"70""",Orthodox,23-Oct-88,2.62,40%,58%,,1.17,50%,80%,0
Luke Sanders,Record: 12-3-0,"5' 6""",135 lbs.,"67""",Southpaw,12-Dec-85,5.92,51%,55%,,0.44,33%,70%,0.4
Alex Perez,Record: 21-4-0,"5' 6""",125 lbs.,"65""",Orthodox,21-Mar-92,5.25,46%,61%,,3.68,43%,100%,2.1
Carls John De Tomas,Record: 8-2-0,"5' 5""",125 lbs.,"71""",Southpaw,28-Aug-96,1.74,37%,44%,,1.37,33%,66%,0
Frankie Saenz,Record: 13-5-0,"5' 6""",135 lbs.,"66""",Orthodox,12-Aug-80,3.99,47%,54%,,1.8,32%,62%,0.1
Merab Dvalishvili,Record: 7-4-0,"5' 6""",135 lbs.,"68""",Orthodox,10-Jan-91,3.6,32%,55%,,8.5,37%,80%,0
Alejandro Perez,Record: 22-6-1,"5' 6""",135 lbs.,"67""",Orthodox,2-Sep-89,3.71,35%,65%,,0.46,16%,63%,0.1
Iuri Alcantara,Record: 35-10-0 (1 NC),"5' 9""",135 lbs.,"71""",Southpaw,4-Aug-80,2.72,45%,49%,,1.44,62%,60%,0.8
Davi Ramos,Record: 8-2-0,"5' 8""",170 lbs.,"70""",Orthodox,5-Nov-86,3.19,37%,56%,,2.99,54%,0%,1
Chris Gruetzemacher,Record: 14-3-0,"5' 8""",155 lbs.,"68""",Orthodox,16-Jun-86,7.12,58%,56%,,0,0%,62%,0
Trevin Giles,Record: 11-0-0,"6' 0""",185 lbs.,"74""",Orthodox,6-Aug-92,5.45,66%,76%,,3.69,100%,66%,0
Antonio Braga Neto,Record: 9-3-0 (1 NC),"6' 3""",185 lbs.,"77""",Orthodox,29-Oct-87,1.36,33%,45%,,3.07,37%,0%,0.5
Max Holloway,Record: 19-3-0,"5' 11""",145 lbs.,"69""",Orthodox,4-Dec-91,6.2,43%,65%,,0.28,80%,83%,0.5
Jose Aldo,Record: 27-4-0,"5' 7""",145 lbs.,"70""",Orthodox,9-Sep-86,3.51,44%,67%,,0.73,68%,92%,0.2
Francis Ngannou,Record: 11-3-0,"6' 4""",250 lbs.,"83""",Orthodox,5-Sep-86,1.79,34%,47%,,0,0%,68%,0.5
Alistair Overeem,Record: 43-17-0 (1 NC),"6' 4""",265 lbs.,"80""",Orthodox,17-May-80,3.53,61%,61%,,1.39,62%,72%,1
Henry Cejudo,Record: 13-2-0,"5' 4""",125 lbs.,"64""",Orthodox,9-Feb-87,3.42,42%,67%,,2.31,35%,88%,0.1
Sergio Pettis,Record: 17-3-0,"5' 6""",125 lbs.,"69""",Orthodox,18-Aug-93,3.74,37%,66%,,0.99,39%,69%,0.5
Eddie Alvarez,Record: 29-6-0 (1 NC),"5' 9""",155 lbs.,"69""",Orthodox,11-Jan-84,4.32,41%,55%,,2.92,36%,92%,0.5
