Thiago Santos,Record: 18-6-0,"6' 0""",185 lbs.,"76""",Orthodox,1/7/1984,4.59, 0.47 , 0.63 ,0.85, 0.33 , 0.72 ,0.2
Kevin Holland,Record: 13-4-0,"6' 3""",185 lbs.,"81""",Orthodox,11/5/1992,3.8, 0.46 , 0.56 ,0, -   , 0.55 ,0.5
Pedro Munhoz,Record: 16-3-0 (1 NC),"5' 6""",135 lbs.,"64""",Orthodox,9/7/1986,4.79, 0.41 , 0.58 ,1.15, 0.21 , 0.71 ,1.3
Brett Johns,Record: 15-2-0,"5' 7""",135 lbs.,"71""",Orthodox,2/21/1992,3.41, 0.45 , 0.55 ,3.72, 0.48 , 0.78 ,0.5
Ricky Simon,Record: 14-1-0,"5' 6""",135 lbs.,"69""",Orthodox,8/31/1992,2.38, 0.41 , 0.67 ,7.67, 0.50 , 0.64 ,0.3
Montel Jackson,Record: 6-1-0,"5' 10""",135 lbs.,"75""",Southpaw,4/24/1992,3.52, 0.44 , 0.60 ,2.75, 1.00 , 0.66 ,0
Ricardo Ramos,Record: 12-1-0,"5' 9""",135 lbs.,"72""",Orthodox,8/1/1995,3.36, 0.42 , 0.58 ,1.43, 0.50 , 0.72 ,0.7
Kyung Ho Kang,Record: 14-8-0 (1 NC),"5' 9""",135 lbs.,"72""",Orthodox,9/9/1987,2.39, 0.42 , 0.58 ,2.29, 0.66 , 0.75 ,1.3
Sheymon Moraes,Record: 10-2-0,"5' 8""",145 lbs.,"72""",Orthodox,10/11/1990,3.08, 0.44 , 0.63 ,0, -   , 0.38 ,0
Matt Sayles,Record: 7-2-0,"5' 7""",145 lbs.,"68""",Orthodox,2/21/1994,6.55, 0.37 , 0.58 ,0, -   , 1.00 ,0
Alex Perez,Record: 21-4-0,"5' 6""",125 lbs.,"65""",Orthodox,3/21/1992,5.25, 0.46 , 0.61 ,3.68, 0.43 , 1.00 ,2.1
Jose Torres,Record: 8-1-0,"5' 4""",125 lbs.,"65""",Orthodox,8/2/1992,4.37, 0.36 , 0.50 ,1.28, 0.33 , 0.75 ,0
Weili Zhang,Record: 17-1-0,"5' 4""",115 lbs.,--,Switch,8/13/1989,5.13, 0.39 , 0.72 ,1, 0.50 , 1.00 ,0
Danielle Taylor,Record: 9-4-0,"5' 0""",115 lbs.,"60""",Orthodox,10/25/1989,2.75, 0.29 , 0.71 ,0.2, 0.20 , 0.70 ,0.2
Marlon Vera,Record: 11-5-1,"5' 8""",135 lbs.,"70""",Switch,12/2/1992,3.21, 0.43 , 0.52 ,0.55, 0.28 , 0.70 ,1.1
Wuliji Buren,Record: 10-6-0,"5' 9""",135 lbs.,"69""",Orthodox,3/1/1989,1.93, 0.39 , 0.61 ,3.62, 0.40 , 0.80 ,0
Dustin Poirier,Record: 24-5-0 (1 NC),"5' 9""",155 lbs.,"72""",Southpaw,1/19/1989,5.59, 0.49 , 0.56 ,1.75, 0.41 , 0.69 ,1.3
Eddie Alvarez,Record: 29-6-0 (1 NC),"5' 9""",155 lbs.,"69""",Orthodox,1/11/1984,4.32, 0.41 , 0.55 ,2.92, 0.36 , 0.92 ,0.5
Jose Aldo,Record: 27-4-0,"5' 7""",145 lbs.,"70""",Orthodox,9/9/1986,3.51, 0.44 , 0.67 ,0.73, 0.68 , 0.92 ,0.2
Jeremy Stephens,Record: 28-15-0,"5' 8""",145 lbs.,"71""",Orthodox,5/25/1986,3.1, 0.40 , 0.59 ,1.16, 0.36 , 0.64 ,0.4
Joanna Jedrzejczyk,Record: 15-2-0,"5' 6""",115 lbs.,"65""",Orthodox,8/18/1987,6.44, 0.47 , 0.66 ,0.15, 0.66 , 0.82 ,0
Tecia Torres,Record: 10-3-0,"5' 1""",115 lbs.,"60""",Orthodox,8/16/1989,4.44, 0.48 , 0.65 ,0.83, 0.17 , 0.42 ,0.1
Alexander Hernandez,Record: 10-1-0,"5' 9""",155 lbs.,"72""",Orthodox,10/1/1992,2.99, 0.50 , 0.46 ,3.82, 0.40 , 0.66 ,0
Olivier Aubin-Mercier,Record: 12-3-0,"5' 9""",155 lbs.,"70""",Southpaw,2/23/1989,2.58, 0.53 , 0.57 ,2.97, 0.35 , 0.68 ,0.7
Jordan Mein,Record: 31-12-0,"6' 0""",170 lbs.,"73""",Orthodox,10/10/1989,3.35, 0.44 , 0.69 ,1.56, 0.58 , 0.66 ,0.2
Alex Morono,Record: 14-5-0 (1 NC),"5' 11""",170 lbs.,"72""",Orthodox,8/16/1990,3.66, 0.40 , 0.64 ,0, -   , 0.40 ,0.6
Hakeem Dawodu,Record: 8-1-1,"5' 8""",145 lbs.,"73""",Orthodox,7/2/1991,4.98, 0.45 , 0.65 ,0, -   , 1.00 ,0
Austin Arnett,Record: 15-5-0,"6' 0""",145 lbs.,"72""",Orthodox,10/22/1991,4.12, 0.37 , 0.62 ,0.39, 0.20 , 0.50 ,0.4
Islam Makhachev,Record: 16-1-0,"5' 10""",155 lbs.,"70""",Orthodox,10/27/1991,2.24, 0.60 , 0.64 ,4.33, 0.86 , 1.00 ,1.3
Kajan Johnson,Record: 23-13-1,"5' 11""",155 lbs.,"75""",Orthodox,4/21/1984,2.37, 0.45 , 0.61 ,1.86, 0.37 , 0.62 ,0.2
Ion Cutelaba,Record: 14-3-0 (1 NC),"6' 1""",205 lbs.,"75""",Southpaw,12/14/1993,4.62, 0.35 , 0.48 ,1.95, 0.66 , 0.69 ,0
Gadzhimurad Antigulov,Record: 20-5-0,"5' 11""",205 lbs.,"70""",Orthodox,2/9/1987,1.78, 0.53 , 0.21 ,9.51, 0.50 , -   ,3.8
John Makdessi,Record: 16-6-0,"5' 8""",155 lbs.,"68""",Orthodox,5/3/1985,5.49, 0.50 , 0.71 ,0, -   , 0.87 ,0
